Country,Year,Average Annual Wages
United Kingdom,2018,53950
United Kingdom,2019,54703
United Kingdom,2020,53612
United Kingdom,2021,54762.30333
United Kingdom,2022,53985.06047
United States,2000,61131.59919
United States,2001,61601.2442
United States,2002,62096.62512
United States,2003,62764.10243
United States,2004,63927.40582
United States,2005,63987.31916
United States,2006,64945
United States,2007,66174
United States,2008,66011
United States,2009,66673
United States,2010,67263
United States,2011,67353
United States,2012,67928
United States,2013,67604
United States,2014,68591
United States,2015,70320
United States,2016,70446
United States,2017,71157
United States,2018,71937
United States,2019,73194
United States,2020,77567
United States,2021,78894.28061
United States,2022,77463.47302
Mexico,2000,17310.58041
Mexico,2001,18313.16021
Mexico,2002,18241.33517
Mexico,2003,18561.5381
Mexico,2004,18650.07916
Mexico,2005,18777.90976
Mexico,2006,18746
Mexico,2007,18818
Mexico,2008,18656
Mexico,2009,18806
Mexico,2010,17618
Mexico,2011,17777
Mexico,2012,17457
Mexico,2013,17470
Mexico,2014,17503
Mexico,2015,17730
Mexico,2016,17522
Mexico,2017,17475
Mexico,2018,17865
Mexico,2019,18031
Mexico,2020,17467
Mexico,2021,17637.05555
Mexico,2022,16685.37147
Israel,2000,37781.72496
Israel,2001,38369.97007
Israel,2002,36922.70094
Israel,2003,35655.64948
Israel,2004,35106.85263
Israel,2005,35173.89557
Israel,2006,36161
Israel,2007,36502
Israel,2008,35979
Israel,2009,34890
Israel,2010,34993
Israel,2011,35189
Israel,2012,35792
Israel,2013,35900
Israel,2014,36112
Israel,2015,37213
Israel,2016,38698
Israel,2017,39898
Israel,2018,41059
Israel,2019,41964
Israel,2020,42130
Israel,2021,44338.86887
Israel,2022,44155.94542
Slovenia,2000,33203.23349
Slovenia,2001,34558.42289
Slovenia,2002,34648.43831
Slovenia,2003,35375.70685
Slovenia,2004,37099.95189
Slovenia,2005,38510.08307
Slovenia,2006,39774
Slovenia,2007,40657
Slovenia,2008,41272
Slovenia,2009,41676
Slovenia,2010,42846
Slovenia,2011,42725
Slovenia,2012,41437
Slovenia,2013,40760
Slovenia,2014,41576
Slovenia,2015,42482
Slovenia,2016,44095
Slovenia,2017,44894
Slovenia,2018,45702
Slovenia,2019,47050
Slovenia,2020,48605
Slovenia,2021,50466.68794
Slovenia,2022,47203.62743
Estonia,2000,14253.99896
Estonia,2001,14756.02802
Estonia,2002,15621.98837
Estonia,2003,17131.06282
Estonia,2004,18486.64097
Estonia,2005,19715.3331
Estonia,2006,21504
Estonia,2007,25012
Estonia,2008,25382
Estonia,2009,24704
Estonia,2010,24461
Estonia,2011,23907
Estonia,2012,24256
Estonia,2013,24859
Estonia,2014,26232
Estonia,2015,27434
Estonia,2016,28837
Estonia,2017,29500
Estonia,2018,31391
Estonia,2019,33006
Estonia,2020,35128
Estonia,2021,37317.82297
Estonia,2022,34704.57152
OECD countries,2000,45489.49335
OECD countries,2001,45984.71674
OECD countries,2002,46124.76186
OECD countries,2003,46513.0537
OECD countries,2004,47165.35645
OECD countries,2005,47448.88893
OECD countries,2006,47905
OECD countries,2007,48521
OECD countries,2008,48466
OECD countries,2009,48764
OECD countries,2010,48881
OECD countries,2011,49011
OECD countries,2012,49003
OECD countries,2013,49137
OECD countries,2014,49509
OECD countries,2015,50336
OECD countries,2016,50781
OECD countries,2017,51154
OECD countries,2018,51768
OECD countries,2019,52654
OECD countries,2020,53448
OECD countries,2021,54257.59554
OECD countries,2022,53415.84352
Iceland,2000,57007.89517
Iceland,2001,56571.30031
Iceland,2002,58197.09048
Iceland,2003,56719.11933
Iceland,2004,60144.38904
Iceland,2005,64809.45494
Iceland,2006,68219
Iceland,2007,70267
Iceland,2008,62292
Iceland,2009,52694
Iceland,2010,54268
Iceland,2011,56570
Iceland,2012,56277
Iceland,2013,57135
Iceland,2014,57946
Iceland,2015,61777
Iceland,2016,68732
Iceland,2017,75287
Iceland,2018,79476
Iceland,2019,76444
Iceland,2020,71687
Iceland,2021,74654.51952
Iceland,2022,79473.35929
New Zealand,2000,36451.93329
New Zealand,2001,37143.585
New Zealand,2002,37829.94495
New Zealand,2003,39232.67469
New Zealand,2004,40606.50858
New Zealand,2005,41292.85256
New Zealand,2006,41548
New Zealand,2007,43973
New Zealand,2008,43463
New Zealand,2009,43994
New Zealand,2010,44476
New Zealand,2011,44442
New Zealand,2012,45402
New Zealand,2013,44794
New Zealand,2014,44969
New Zealand,2015,45779
New Zealand,2016,47269
New Zealand,2017,47594
New Zealand,2018,48784
New Zealand,2019,50211
New Zealand,2020,51417
New Zealand,2021,51877.3367
New Zealand,2022,50722.4543
Chile,2000,20514.90861
Chile,2001,21090.00601
Chile,2002,21378.51175
Chile,2003,21710.70198
Chile,2004,21258.81054
Chile,2005,21069.06862
Chile,2006,21589
Chile,2007,22100
Chile,2008,22505
Chile,2009,24588
Chile,2010,27871
Chile,2011,28639
Chile,2012,29661
Chile,2013,30530
Chile,2014,30657
Chile,2015,30615
Chile,2016,31834
Chile,2017,30847
Chile,2018,32348
Chile,2019,33190
Chile,2020,31369
Chile,2021,33042.3321
Latvia,2000,13406.70653
Latvia,2001,13843.79142
Latvia,2002,13420.23761
Latvia,2003,14380.66693
Latvia,2004,15634.09323
Latvia,2005,18183.97802
Latvia,2006,20051
Latvia,2007,24721
Latvia,2008,25508
Latvia,2009,23031
Latvia,2010,22140
Latvia,2011,21373
Latvia,2012,22240
Latvia,2013,23301
Latvia,2014,24864
Latvia,2015,26944
Latvia,2016,28523
Latvia,2017,29546
Latvia,2018,30640
Latvia,2019,31972
Latvia,2020,33199
Latvia,2021,35923.06305
Latvia,2022,34136.15487
Lithuania,2000,17102.37602
Lithuania,2001,18055.46368
Lithuania,2002,19273.9634
Lithuania,2003,21352.46893
Lithuania,2004,23693.9422
Lithuania,2005,26174.75832
Lithuania,2006,29975
Lithuania,2007,31929
Lithuania,2008,32512
Lithuania,2009,28233
Lithuania,2010,28340
Lithuania,2011,28918
Lithuania,2012,29401
Lithuania,2013,30515
Lithuania,2014,31902
Lithuania,2015,33989
Lithuania,2016,35752
Lithuania,2017,37766
Lithuania,2018,39524
Lithuania,2019,42041
Lithuania,2020,44228
Lithuania,2021,47035.4439
Lithuania,2022,43874.58155
Türkiye,2006,21432
Türkiye,2007,22170
Türkiye,2008,22042
Türkiye,2009,22292
Türkiye,2010,22847
Türkiye,2011,23216
Türkiye,2012,24153
Türkiye,2013,25265
Türkiye,2014,26127
Türkiye,2015,26786
Türkiye,2016,30081
Türkiye,2017,29515
Türkiye,2018,30041
Türkiye,2019,31927
Türkiye,2020,31761
Colombia,2005,16614.18268
Colombia,2006,16958
Colombia,2007,16848
Colombia,2008,18496
Colombia,2009,19172
Colombia,2010,19800
Colombia,2011,19693
Colombia,2012,20172
Colombia,2013,20588
Colombia,2014,20602
Colombia,2015,20685
Colombia,2016,20488
Colombia,2017,21020
Colombia,2018,21821
Colombia,2019,21751
Colombia,2020,24681
Colombia,2021,22248.49156
Costa Rica,2000,18159.51065
Costa Rica,2001,18658.43033
Costa Rica,2002,18844.70875
Costa Rica,2003,18244.20304
Costa Rica,2004,18298.35314
Costa Rica,2005,16702.98736
Costa Rica,2006,17300
Costa Rica,2007,17069
Costa Rica,2008,17725
Costa Rica,2009,20177
Costa Rica,2010,21062
Costa Rica,2011,22174
Costa Rica,2012,22579
Costa Rica,2013,24442
Costa Rica,2014,24510
Costa Rica,2015,26186
Costa Rica,2016,27364
Costa Rica,2017,27020
Costa Rica,2018,27709
Costa Rica,2019,28524
Costa Rica,2020,31341
Costa Rica,2021,31117.83426
